Movie title,Url,Position,Duration,Genre,Rating,RatingCount
Memento,https://www.imdb.com/title/tt0209144/,,PT1H53M,"Drama, Mystery, Thriller",8.4,1395308
Dune: Part Two,https://www.imdb.com/title/tt15239678/,,PT2H46M,"Action, Adventure, Drama",8.5,660344
Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,,PT1H55M,"Action, Adventure",8.4,1085354
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,,PT2H29M,"Action, Adventure, Sci-Fi",8.4,1313375
Das Leben der Anderen,https://www.imdb.com/title/tt0405094/,,PT2H17M,"Drama, Mystery, Thriller",8.4,431790
Sunset Blvd.,https://www.imdb.com/title/tt0043014/,,PT1H50M,"Drama, Film-Noir",8.4,251931
Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/,,PT1H57M,"Animation, Action, Adventure",8.4,748449
Witness for the Prosecution,https://www.imdb.com/title/tt0051201/,,PT1H56M,"Crime, Drama, Mystery",8.4,152954
Paths of Glory,https://www.imdb.com/title/tt0050825/,,PT1H28M,"Drama, War",8.4,229460
The Shining,https://www.imdb.com/title/tt0081505/,,PT2H26M,"Drama, Horror",8.4,1181871
The Great Dictator,https://www.imdb.com/title/tt0032553/,,PT2H5M,"Comedy, Drama, War",8.4,251279
Inglourious Basterds,https://www.imdb.com/title/tt0361748/,,PT2H33M,"Adventure, Drama, War",8.4,1711488
12th Fail,https://www.imdb.com/title/tt23849204/,,PT2H27M,"Biography, Drama",8.7,154835
Aliens,https://www.imdb.com/title/tt0090605/,,PT2H17M,"Action, Adventure, Horror",8.4,817901
The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,,PT2H44M,"Action, Crime, Drama",8.4,1936922
Coco,https://www.imdb.com/title/tt2380307/,,PT1H45M,"Animation, Adventure, Drama",8.4,665576
Amadeus,https://www.imdb.com/title/tt0086879/,,PT2H40M,"Biography, Drama, Music",8.4,453749
Avengers: Endgame,https://www.imdb.com/title/tt4154796/,,PT3H1M,"Action, Adventure, Sci-Fi",8.4,1383377
Toy Story,https://www.imdb.com/title/tt0114709/,,PT1H21M,"Animation, Adventure, Comedy",8.3,1137435
Good Will Hunting,https://www.imdb.com/title/tt0119217/,,PT2H6M,"Drama, Romance",8.3,1156251
Tengoku to jigoku,https://www.imdb.com/title/tt0057565/,,PT2H23M,"Crime, Drama, Mystery",8.4,63127
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,,PT1H35M,"Comedy, War",8.3,542360
Oldeuboi,https://www.imdb.com/title/tt0364569/,,PT2H,"Action, Drama, Mystery",8.3,690972
Das Boot,https://www.imdb.com/title/tt0082096/,,PT2H29M,"Drama, War",8.4,281703
Braveheart,https://www.imdb.com/title/tt0112573/,,PT2H58M,"Biography, Drama, War",8.3,1138974
Kimi no na wa.,https://www.imdb.com/title/tt5311514/,,PT1H46M,"Animation, Drama, Fantasy",8.4,367867
Mononoke-hime,https://www.imdb.com/title/tt0119698/,,PT2H13M,"Animation, Adventure, Fantasy",8.3,467123
American Beauty,https://www.imdb.com/title/tt0169547/,,PT2H2M,Drama,8.3,1258601
3 Idiots,https://www.imdb.com/title/tt1187043/,,PT2H50M,"Comedy, Drama",8.4,466049
Joker,https://www.imdb.com/title/tt7286456/,,PT2H2M,"Crime, Drama, Thriller",8.3,1635117
